Title,Salary,Company,Contract,Location,Sector,Url,Date,Description,Duration,Keyword,Site
Data Scientist modélisations - innovations Assurance (F/H),"Salaire :
Non spécifié",AXA,CDI,Nanterre,"Banque, Assurance, FinTech / InsurTech",https://recrutement.axa.fr/nos-offres-emploi/24010109?src=JB-BB-12100&at_medium=affiliate&at_type=partner&at_identifier=welcometothejungle&at_campaign=5,2024/02/03,"Vous êtes passionné par la Data et souhaitez travailler dans un environnement où la data est au cœur de nos innovations ? Le domaine de l’assurance santé vous intéresse ? AXA France recrute un Data Scientist (F/H) pour rejoindre AXA Santé et Collectives. Vous intégrerez la direction Data santé et collectives et rejoindrez l’équipe Etudes et innovations data, composée de 16 personnes. Vous travaillerez sur des études et projets d’innovation, sur de nouvelles investigations et d’importants volumes de Data. Vous utiliserez la data sous toutes ses formes, avec comme objectif d’améliorer les process ainsi que les services délivrés aux clients (internes et externes). Vos principales missions en tant que Data Scientist seront : -Vous participerez au projet de lutte contre la fraude en santé collective et individuelle avec de nouvelles approches (analyse prédictive, scoring, data sciences, big data) pour une solution efficace ;",Undetermined,data science,Welcome to the Jungle
Consultant(e) - Data gouvernance - Industries & Services - Aix en Provence,"Salaire :
Non spécifié",SOPRA STERIA,CDI,Aix-en-Provence,"IT / Digital, Organisation / Management",https://jobs.smartrecruiters.com/SopraSteria1/743999965052603-consultant-e-data-gouvernance-industries-services-aix-en-provence?oga=true&trid=9fa97eed-f39f-400a-9fc4-128b3ed356c4,2024/02/03,"Votre futur environnement de travail :Vous intégrerez nos équipes de développeurs mais aussi data pour le compte d'un de nos clients grands comptes dans le domaine du transport maritime. Projet d'envergure et évolutif vous serez amenez à travailler sur des aspects à la fois techniques et fonctionnels. Votre rôle et missions : Cadrer et mettre en œuvre la gouvernance des donnéesOptimiser l'organisation, les méthodes et les processus DataParticiper à l'audit de l'existant Data (usages, données, capacités)Expertise sur des activités de qualités des donnéesExpertise sur des activités de référentiels de données, implémentation d’outil de type MDMDéployer une démarche de « cataloguing » des données via outil de data catalogue (éditeur ou non)Connaissance du marché et des éditeurs leader sur les activités Data GouvernanceParticipation à des ateliers clients de conception et de conseilCadrage/AVV, comprendre un RFP, construire une réponse adaptée afin de la soutenir face à un auditoire métier et/ou IT",Undetermined,data science,Welcome to the Jungle
CDI - Data Engineer H/F @ Startup CybeleTech,"Salaire :
Non spécifié",OSS VENTURES,CDI,Paris,SaaS / Cloud Services,https://www.welcometothejungle.com/fr/companies/oss-ventures/jobs/cdi-data-engineer-h-f_paris?q=5c6acf1aeb7c9f24b77f52e99cff688f&o=6f531538-f8bb-44fa-980f-3bf442554752,2024/02/02,"Qui sommes nous ?CybeleTech est une jeune entreprise qui développe des outils logiciels au service de l’agriculture d’aujourd’hui et de demain : stratégies de production à la fois productives et respectueuses de l’environnement, amélioration de la qualité nutritionnelle et gustative des aliments, réduction des pesticides, pérennité des cultures vis-à-vis des aléas climatiques…Ces outils reposent sur des algorithmes innovants combinant Data Science et Modélisation, rendus accessibles à nos clients grâce à des logiciels SaaS.Initialement spin-off du laboratoire de mathématiques appliquées de Centrale Paris, nous sommes aujourd’hui une équipe pluridisciplinaire de 15 personnes, œuvrant aussi bien dans le champ des mathématiques, de l’informatique, de la biologie et de l’agronomie.Nous sommes implantés à Orléans et au cœur de Montrouge (M4 parisien).Afin d’accompagner la croissance de notre activité, nous recherchons un(e) Data Engineer. Le poste est à pourvoir en CDI à temps plein.Vous intégrerez au quotidien l’équipe Datascience de Cybeletech. Vos missions en lien avec les Datascientists, Modélisateurs, Agronomes de l’équipe mais aussi en lien avec notre équipe DevOps :",Undetermined,data science,Welcome to the Jungle
Stage - 6 mois - Data Scientist F/H,"Salaire :
10K à 11K €",NATIXIS,Stage,Paris,"Banque, Transformation, Assurance",https://www.aplitrak.com/?adid=ZnJhLjQ3NzYyLjkzODBAbmF0aXhpcy5hcGxpdHJhay5jb20,2024/02/02,"Vous rejoignez l'équipe Indixis qui recherche un Data Scientist/Data Analyst, pour un stage de 6 mois à partir de 31 mars 2024.En collaboration avec votre tuteur vos missions principales seront :Travailler et avancer sur les sujets Data Science existants ;Proposer des améliorations sur les Proof Of Concepts ;Utiliser des API de l'open data pour enrichir le CRM de l'équipe ;Participer aux développements de l'équipe et à la mise en valeur de ces développements via des dashboards (Power BI/Plotly/Flask).#FinanceTransformativeEn tant que Top Employer, nous plaçons nos collaborateurs au centre de nos attentions. Des dispositifs de mobilité interne, développement de carrière et de formation vous permettent de grandir et de vous épanouir tout au long de votre parcours.Vous évoluez dans un environnement de travail inclusif et favorisant le collaboratif qui vous donnera toutes les chances de réussir cette nouvelle mission.",Undetermined,data science,Welcome to the Jungle
Data Scientist (F/H) Cosmétique,"Salaire :
Non spécifié",MP DATA,CDI,Boulogne-Billancourt,"Intelligence artificielle / Machine Learning, IT / Digital, Big Data",https://www.welcometothejungle.com/fr/companies/mp-data/jobs/data-scientist-f-h-cosmetique_boulogne-billancourt?q=5c6acf1aeb7c9f24b77f52e99cff688f&o=aee5f91e-75ef-4d8f-ad9f-feecfd9cbaaa,2024/02/02,"Bon à savoir : CDI / ASAP / Ile de FranceNous recherchons un(e) Data Scientist(H/F) pour rejoindre nos équipes afin de travailler chez notre client, grand acteur de la Cosmétique en France, sur l’ensemble des projets du Datalab.Votre rôle sera de manipuler et d’analyser des ensembles de données complexes en utilisant des techniques avancées telles que :La modélisation statistique,L’apprentissage automatique, dans le but de générer des insights précieux permettant d’éclairer les décisions stratégiques de l’entreprise.Vous serez également responsable du développement :De solutions algorithmiques,De la collaboration avec les équipes métier afin de résoudre des problèmes concrets en exploitant pleinement le potentiel des données disponibles.",Undetermined,data science,Welcome to the Jungle
Margo Analytics - Data Scientist - H/F,"Salaire :
Non spécifié",MARGO,CDI,Paris,"Logiciels, IT / Digital",https://jobs.lever.co/margo-group/abe545b4-0bda-409e-81f6-204192013c24/apply?lever-origin=applied&lever-source=WTTJ,2024/02/02,"Entité experte de Margo Group des problématiques Data, Cloud et DevOps créée en 2020 par leurs fondateurs Raphaël et Mounir. Aujourd’hui 60 consultants ont intégré l'entité et nous avons commencé à travailler avec 18 nouveaux clients (Banque, Industrie, Assurance, Énergie, E commerce, Santé). A leurs côtés, vous pourrez évoluer rapidement et développer de nouvelles compétences. Deux ADN fondateurs forts et spécifiques à Margo Analytics à l’origine de l’entité :- Toujours se positionner sur les plus beaux sujets et sur les missions à fortes valeurs ajoutées- Recruter des consultants passionnés et curieux qui cherchent à être challengésAujourd’hui, Margo Analytics possède 4 communautés de compétences : - Data engineer - Data Science/ IA - Galaxy OPS (devOps, dataOps, cloudOps)- Architecte Big Data Ainsi en rejoignant Margo Analytics vous aurez le choix des missions (#consultantfirst) sur lesquelles vous souhaitez travailler. Vous serez accompagné par les deux fondateurs ainsi que par le leader de votre communauté, dont les rôles sont de rechercher le projet qui correspondra le plus à vos attentes et de vous accompagner dans votre carrière.",Undetermined,data science,Welcome to the Jungle
R&D Data Scientist - Intern,"Salaire :
Non spécifié",DESCARTES UNDERWRITING,Stage,Paris,"Intelligence artificielle / Machine Learning, Assurance, FinTech / InsurTech",https://careers.descartesunderwriting.com/jobs/3443837-r-d-data-scientist-intern/applications/new,2024/02/02,"ABOUT DESCARTES UNDERWRITINGDescartes was born out of the conviction that climate change calls for a revolutionary approach in insurance to better protect corporations, governments, and vulnerable communities. We offer a new generation of parametric insurance that builds resilience against the full spectrum of climate and emerging risks. Utilizing Machine Learning and real-time monitoring from satellite imagery & IoT, our state-of-the-art climate tech provides innovative coverage for all trade sectors in all regions of the world. After a successful Series B raise of $120M USD, Descartes Underwriting is proud to be recognized among the French Tech Next40 and launched Descartes Insurance, a ‘full stack’ insurer licensed to underwrite risk by the French Regulator (ACPR). With a growing corporate client base (350+ and counting) - our diverse team is headquartered in Paris and operates out of our 13 global offices in North America, Europe, Australia, Singapore, Hong Kong and Japan.ABOUT YOUR ROLEDue to rapid growth, we are seeking to expand our R&D team and we are looking for a R&D Data Scientist Intern (end of study). At the core of our company’s strategy, your missions will focus on making direct contributions to the development of new climate models :",Undetermined,data science,Welcome to the Jungle
Data Scientist - Intern,"Salaire :
Non spécifié",DESCARTES UNDERWRITING,Stage,Paris,"Intelligence artificielle / Machine Learning, Assurance, FinTech / InsurTech",https://careers.descartesunderwriting.com/jobs/2068255-data-scientist-intern/applications/new,2024/02/02,"ABOUT DESCARTES UNDERWRITINGDescartes was born out of the conviction that climate change calls for a revolutionary approach in insurance to better protect corporations, governments, and vulnerable communities. We offer a new generation of parametric insurance that builds resilience against the full spectrum of climate and emerging risks. Utilizing Machine Learning and real-time monitoring from satellite imagery & IoT, our state-of-the-art climate tech provides innovative coverage for all trade sectors in all regions of the world. After a successful Series B raise of $120M USD, Descartes Underwriting is proud to be recognized among the French Tech Next40 and launched Descartes Insurance, a ‘full stack’ insurer licensed to underwrite risk by the French Regulator (ACPR). With a growing corporate client base (350+ and counting) - our diverse team is headquartered in Paris and operates out of our 13 global offices in North America, Europe, Australia, Singapore, Hong Kong and Japan.ABOUT YOUR ROLEDue to rapid growth we are seeking to recruit a Data Science Intern (end of study) to further expand our Data Science team, for a period of 6 months, either across our Underwriting or our R&D functions. At the core of our company’s strategy, your missions will focus on making direct contributions to the development of new climate models or forecasting tools. Your responsibilities would include:",6 mois,data science,Welcome to the Jungle
Underwriting Data Scientist - CDI,"Salaire :
Non spécifié",DESCARTES UNDERWRITING,CDI,Paris,"Intelligence artificielle / Machine Learning, Assurance, FinTech / InsurTech",https://careers.descartesunderwriting.com/jobs/1815625-underwriting-data-scientist-cdi/applications/new,2024/02/02,"ABOUT DESCARTES UNDERWRITINGDescartes was born out of the conviction that climate change calls for a revolutionary approach in insurance to better protect corporations, governments, and vulnerable communities. We offer a new generation of parametric insurance that builds resilience against the full spectrum of climate and emerging risks. Utilizing Machine Learning and real-time monitoring from satellite imagery & IoT, our state-of-the-art climate tech provides innovative coverage for all trade sectors in all regions of the world. After a successful Series B raise of $120M USD, Descartes Underwriting is proud to be recognized among the French Tech Next40 and launched Descartes Insurance, a ‘full stack’ insurer licensed to underwrite risk by the French Regulator (ACPR). With a growing corporate client base (350+ and counting) - our diverse team is headquartered in Paris and operates out of our 13 global offices in North America, Europe, Australia, Singapore, Hong Kong and Japan.ABOUT YOUR ROLEDue to rapid growth, we are seeking to expand our Underwriting team and we are looking for a Data Scientist. At the core of our company’s strategy, your missions will focus on making direct contributions to the development of new climate models of forecasting tools :",Undetermined,data science,Welcome to the Jungle
Data Scientist - CDI,"Salaire :
Non spécifié",DESCARTES UNDERWRITING,CDI,Paris,"Intelligence artificielle / Machine Learning, Assurance, FinTech / InsurTech",https://careers.descartesunderwriting.com/jobs/1529516-data-scientist-cdi/applications/new,2024/02/02,"ABOUT DESCARTES UNDERWRITINGDescartes was born out of the conviction that climate change calls for a revolutionary approach in insurance to better protect corporations, governments, and vulnerable communities. We offer a new generation of parametric insurance that builds resilience against the full spectrum of climate and emerging risks. Utilizing Machine Learning and real-time monitoring from satellite imagery & IoT, our state-of-the-art climate tech provides innovative coverage for all trade sectors in all regions of the world. After a successful Series B raise of $120M USD, Descartes Underwriting is proud to be recognized among the French Tech Next40 and launched Descartes Insurance, a ‘full stack’ insurer licensed to underwrite risk by the French Regulator (ACPR). With a growing corporate client base (350+ and counting) - our diverse team is headquartered in Paris and operates out of our 13 global offices in North America, Europe, Australia, Singapore, Hong Kong and Japan.ABOUT YOUR ROLEDue to rapid growth we are seeking to expand our Data Science team, either across our Underwriting or our R&D functions. At the core of our company’s strategy, your missions will focus on making direct contributions to the development of new climate models or forecasting tools.",Undetermined,data science,Welcome to the Jungle
